user_id,date,sleep_hours,workload_hours,stress_level,screen_time,physical_activity,social_interaction,meal_quality,productivity_score,burnout_risk
1,2024-01-01,7.5,8,4,6,45,3,8,8,Low
1,2024-01-02,7,9,5,7,30,2,7,7,Low
1,2024-01-03,6.5,10,7,8,20,1.5,6,6,Medium
1,2024-01-04,6,11,8,9,15,1,5,5,Medium
1,2024-01-05,5,12,9,10,10,0.5,4,4,High
1,2024-01-06,4.5,13,10,11,5,0,3,3,High
2,2024-01-01,8,6,3,4,60,4,9,9,Low
2,2024-01-02,8,7,4,5,50,3.5,8,8,Low
2,2024-01-03,7.5,8,5,6,45,3,8,8,Low
2,2024-01-04,7,9,6,7,40,2.5,7,7,Medium
2,2024-01-05,6.5,10,7,8,35,2,6,6,Medium
2,2024-01-06,6,11,8,9,30,1.5,5,5,High
3,2024-01-01,5,12,9,10,15,1,4,4,High
3,2024-01-02,5.5,11,8,9,20,1.5,5,5,High
3,2024-01-03,6,10,7,8,25,2,6,6,Medium
3,2024-01-04,6.5,9,6,7,30,2.5,7,7,Medium
3,2024-01-05,7,8,5,6,35,3,7,7,Low
3,2024-01-06,7.5,7,4,5,40,3.5,8,8,Low
4,2024-01-01,4,14,10,12,0,0,2,2,High
4,2024-01-02,4.5,13,9,11,5,0.5,3,3,High
4,2024-01-03,5,12,8,10,10,1,4,4,High
4,2024-01-04,5.5,11,7,9,15,1.5,5,5,Medium
4,2024-01-05,6,10,6,8,20,2,6,6,Medium
5,2024-01-01,9,4,2,3,90,5,10,10,Low
5,2024-01-02,8.5,5,3,4,80,4.5,9,9,Low
5,2024-01-03,8,6,4,5,70,4,8,8,Low
5,2024-01-04,7.5,7,5,6,60,3.5,7,7,Low
5,2024-01-05,7,8,6,7,50,3,6,6,Medium